Date,LunarPhase,today_average,lastnight_average,lastnight_min,Year,Titis,Howlers,Rain
2/8/2013,New,26.75,25.04166667,23.5,2013,No,No,No
2/9/2013,New,24.45833333,25.45833333,22.5,2013,No,No,Yes
2/10/2013,New,23.89583333,24.45833333,23.5,2013,Yes,No,No
2/11/2013,New,24.89583333,23,22.5,2013,No,No,Yes
2/12/2013,New,24.72916667,23.95833333,23,2013,No,No,No
2/13/2013,New,24.45833333,23.79166667,23,2013,Yes,Yes,No
2/14/2013,Waxing,25.16666667,23.5,22.5,2013,Yes,Yes,No
2/15/2013,Waxing,24.4375,24.375,23.5,2013,No,Yes,Yes
2/16/2013,Waxing,22.9375,22.95833333,22,2013,Yes,No,Yes
2/17/2013,Waxing,23.75,22.5,22,2013,Yes,No,No
2/18/2013,Waxing,24.33333333,23,22.5,2013,No,No,Yes
2/19/2013,Waxing,23.58333333,23.54166667,22.5,2013,Yes,No,Yes
2/20/2013,Waxing,22.70833333,23.33333333,22,2013,No,No,Yes
2/21/2013,Waxing,23.39583333,22.45833333,22,2013,No,No,Yes
2/22/2013,Full,22.95833333,22.95833333,22.5,2013,Yes,No,Yes
2/23/2013,Full,22.95833333,22.41666667,22,2013,No,No,Yes
2/24/2013,Full,24.39583333,22.75,22,2013,No,No,Yes
2/25/2013,Full,25.70833333,24.29166667,23.5,2013,No,Yes,Yes
2/26/2013,Full,24.89583333,24.54166667,23.5,2013,Yes,No,Yes
2/27/2013,Full,24.16666667,23.25,22.5,2013,No,Yes,Yes
2/4/2014,Waxing,25.10416667,23.16666667,22,2014,No,Yes,Yes
2/5/2014,Waxing,24.54166667,24.54166667,23.5,2014,No,Yes,Yes
2/6/2014,Waxing,23.5625,24.20833333,23.5,2014,No,Yes,Yes
2/7/2014,Waxing,24.25,22.95833333,22.5,2014,No,Yes,No
2/8/2014,Waxing,24.16666667,23.375,22.5,2014,No,Yes,Yes
2/9/2014,Waxing,24.5,23.91666667,23,2014,No,Yes,No
2/10/2014,Waxing,23.97916667,24.125,23,2014,No,Yes,Yes
2/11/2014,Full,23.20833333,23.45833333,23,2014,No,Yes,Yes
2/12/2014,Full,23.39583333,22.04166667,21.5,2014,No,Yes,Yes
2/13/2014,Full,23.04166667,23.5,22.5,2014,No,Yes,No
2/14/2014,Full,24.89583333,22.66666667,22,2014,No,Yes,No
2/15/2014,Full,24.72916667,25.5,24,2014,No,Yes,No
2/16/2014,Full,24.70833333,23,22,2014,No,Yes,Yes
2/17/2014,Full,24.91666667,23.66666667,22.5,2014,No,Yes,Yes
2/7/2015,Full,25.95833333,23.875,23,2015,No,Yes,No
2/8/2015,Waning,26.47916667,24.70833333,23,2015,Yes,Yes,No
2/9/2015,Waning,25.35416667,25.16666667,23.5,2015,No,No,Yes
2/10/2015,Waning,24.29166667,24.33333333,23,2015,No,No,Yes
2/11/2015,Waning,23.29166667,23.79166667,23,2015,No,No,Yes
2/12/2015,Waning,23.77083333,23.33333333,23,2015,No,Yes,Yes
2/13/2015,Waning,24.10416667,23.29166667,22.5,2015,No,Yes,No
2/14/2015,Waning,23.41666667,23.83333333,23,2015,No,Yes,Yes
2/15/2015,New,22.91666667,22.45833333,22,2015,No,No,Yes
2/16/2015,New,24.375,23.16666667,22.5,2015,No,Yes,Yes
2/17/2015,New,25.6875,24.16666667,23,2015,No,Yes,Yes
2/18/2015,New,26.72916667,25.45833333,24,2015,No,Yes,No
1/26/2016,Full,28.75,27,25,2016,No,Yes,Yes
1/27/2016,Full,28.14583333,26.95833333,24.5,2016,No,No,Yes
1/28/2016,Waning,27.70833333,26.33333333,23.5,2016,Yes,Yes,No
1/29/2016,Waning,27.89583333,26.91666667,25,2016,No,Yes,No
1/30/2016,Waning,28.10416667,26.875,24.5,2016,Yes,Yes,No
1/31/2016,Waning,28.6875,27.45833333,26,2016,Yes,Yes,No
2/3/2016,Waning,25.27083333,24.41666667,23.5,2016,Yes,Yes,No
2/4/2016,New,26.9375,25.25,24,2016,Yes,Yes,No
